Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Animal Crossing: New Horizons,-17%,Matches previous low,$59.99,$49.94,[]
LEGO Jurassic World,-70%,Matches previous low,$39.99,$11.99,Sale ends November 2
What Remains of Edith Finch,-50%,[],$19.99,$9.99,Sale ends in 23 hours
Outlast: Bundle of Terror,-75%,Matches previous low,$24.99,$6.24,Sale ends November 7
Outlast 2,-75%,Matches previous low,$29.99,$7.49,Sale ends November 7
Tokyo Mirage Sessions #FE Encore,-33%,Matches previous low,$59.99,$39.99,[]
Hotline Miami Collection,-50%,[],$24.99,$12.49,Sale ends November 2
Sid Meier’s Civilization VI,-75%,[],$59.99,$14.99,[]
Blossom Tales: The Sleeping King,-50%,Matches previous low,$14.99,$7.49,Sale ends in 14 hours
LEGO The Incredibles,-70%,Matches previous low,$59.99,$17.99,Sale ends November 2
Wuppo: Definitive Edition,-67%,Lowest price ever,$14.99,$4.99,Sale ends in 14 hours
South Park: The Fractured but Whole - Gold Edition,-75%,Matches previous low,$89.99,$22.49,Sale ends November 1
SUPERHOT,-40%,Matches previous low,$24.99,$14.99,Sale ends November 7
Assassin's Creed III: Remastered,-50%,[],$39.99,$19.99,Sale ends November 1
CARRION,-25%,Lowest price ever,$19.99,$14.99,Sale ends November 2
Mario Kart 8 Deluxe,-17%,[],$59.99,$49.94,[]
FINAL FANTASY XII THE ZODIAC AGE,-30%,[],$49.99,$34.99,[]
Starlink: Battle for Atlas Deluxe Edition,-70%,Matches previous low,$79.99,$23.99,Sale ends November 1
STORY OF SEASONS: Friends of Mineral Town,-30%,Lowest price ever,$49.99,$34.99,Sale ends in 23 hours
Mega Man X Legacy Collection 2,-50%,Matches previous low,$19.99,$9.99,Sale ends in 38 hours
STAR WARS Jedi Knight: Jedi Academy,-50%,Matches previous low,$19.99,$9.99,Sale ends November 3
Fire Emblem: Three Houses,-17%,[],$59.99,$49.94,[]
Super Smash Bros. Ultimate,-17%,[],$59.99,$49.94,[]
Katamari Damacy REROLL,-34%,[],$29.99,$19.93,[]
AER Memories of Old,-75%,Matches previous low,$19.99,$4.99,Sale ends November 11
Layers of Fear: Legacy,-80%,Matches previous low,$19.99,$3.99,Sale ends November 5
LEGO DC Super-Villains,-70%,[],$59.99,$17.99,Sale ends November 2
Lonely Mountains: Downhill,-25%,Lowest price ever,$19.99,$14.99,Sale ends November 5
Shift Happens,-80%,Lowest price ever,$14.99,$2.99,Sale ends November 11
Semblance,-80%,Lowest price ever,$9.99,$1.99,Sale ends November 9
ONE PIECE: PIRATE WARRIORS 4,-50%,Lowest price ever,$59.99,$29.99,[]
Deponia,-90%,Matches previous low,$39.99,$3.99,Sale ends November 11
The Long Journey Home,-80%,Lowest price ever,$29.99,$5.99,Sale ends November 11
Octopath Traveler,-17%,[],$59.99,$49.94,[]
AO Tennis 2,-83%,Lowest price ever,$59.99,$9.99,[]
Trials of Mana,-30%,[],$49.99,$34.88,[]
Mega Man Legacy Collection 2,-50%,Matches previous low,$19.99,$9.99,Sale ends in 38 hours
Darksiders Warmastered Edition,-50%,[],$29.99,$14.99,Sale ends November 5
Trailblazers,-80%,Lowest price ever,$29.99,$5.99,Sale ends November 1
Syberia 2,-95%,Matches previous low,$29.99,$1.49,Sale ends November 4
Everspace - Stellar Edition,-50%,[],$39.99,$19.93,[]
Goodbye Deponia,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 11
"Snipperclips – Cut it out, together!",-38%,[],$19.99,$12.47,[]
Toki Tori 2+: Nintendo Switch Edition,-87%,[],$14.99,$1.99,Sale ends November 5
Digimon Story Cyber Sleuth: Complete Edition,-41%,[],$49.99,$29.49,[]
DRAGON BALL FIGHTERZ,-50%,[],$59.99,$29.99,[]
Starlink: Battle for Atlas Digital Edition,-75%,Matches previous low,$59.99,$14.99,Sale ends November 1
Darksiders II Deathinitive Edition,-50%,[],$29.99,$14.99,Sale ends November 5
Wolfenstein II: The New Colossus,-41%,[],$59.99,$35.63,[]
Syberia 3,-80%,Matches previous low,$49.99,$9.99,Sale ends November 4
Deponia Doomsday,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 11
Diablo III: Eternal Collection,-22%,[],$59.99,$46.90,[]
The Witcher 3: Wild Hunt — Complete Edition,-17%,[],$59.99,$49.99,[]
One Finger Death Punch 2,-77%,Lowest price ever,$8.99,$2.06,Sale ends November 1
Death Road to Canada,-50%,Matches previous low,$14.99,$7.49,Sale ends November 4
