Assassin’s Creed: The Rebel Collection,"['Role-Playing, Action, Adventure']",['Ubisoft'],['19.024 GB'],"['December  6, 2019']",80,8.2,"['Japanese, English, Spanish, Portuguese, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$19.99', '-50%']}"
Demon's Crystals,"['Action, Action, Arcade, Fighting']",['Badland Games'],['1.118 GB'],"['October 30, 2018']",tbd,tbd,"['English, Spanish, French, German, Italian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$4.94', '-67%']}"
SpeedRunners,"['Multiplayer, Platformer, Racing, Party']",['tinyBuild Games'],['604 MB'],"['January 23, 2020']",71,tbd,"['Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Walmart': ['Digital Download', '$9.99', '-33%']}"
The Long Reach,"['Action, Adventure']",['Merge Games'],['506 MB'],"['March 15, 2018']",58,6.3,"['German, English, Spanish, French']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.99', '-80%']}"
Human Resource Machine,"['Puzzle, Education, Simulation, Strategy']",['Tomorrow Corporation'],['107 MB'],"['NA', 'March 16, 2017EU', 'March 24, 2017JP', 'June  8, 2017']",77,7.6,"['English, Spanish, French, German, Italian, Dutch, Russian']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Digital Download', '$9.99', '-33%'], 'Best Buy': ['Digital Download', '$9.99', '-33%'], 'GameStop': ['Digital Download', '$9.99', '-33%'], 'Target': ['Digital Download', '$9.99', '-33%'], 'Walmart': ['Digital Download', '$9.99', '-33%']}"
Urban Flow Extended Edition,[],['Baltoro Games'],['3.197 GB'],"['July 24, 2020']",[],[],[],[],"{'Nintendo eShop': ['Digital Download', '$6.79', '-60%']}"
Team Sonic Racing,['Racing'],['SEGA USA'],['7.062 GB'],"['May 21, 2019']",71,7.2,"['Japanese, English, Spanish, French, German, Italian, Russian']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$25.33', '-16%']}"
GoNNER,"['Platformer, Action, Action, Adventure']",['Raw Fury'],['601 MB'],"['June 29, 2017']",79,7.5,"['Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$1.99', '-80%']}"
Moonlighter,"['Action, Adventure, Role-Playing, Simulation']",['11 bit studios'],['1.937 GB'],"['NA/EU', 'November  5, 2018JP', 'March 28, 2019']",83,8.1,"['Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$8.49', '-66%']}"
Starman,"['Puzzle, Adventure']",['nada studio'],['487 MB'],"['December 13, 2018']",tbd,tbd,"['Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$0.99', '-89%']}"
Moonlighter: Complete Edition,[],['11 bit studios'],['1.96 GB'],"['May 29, 2020']",[],[],[],[],"{'Nintendo eShop': ['Digital Download', '$13.04', '-55%']}"
Owlboy,"['Platformer, Adventure, Action']",['D-Pad Studio'],['314 MB'],"['February 13, 2018']",87,7.4,"['Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$18.00', '-28%'], 'Walmart': ['Physical', '$18.00', '-28%']}"
Super Mario Party,"['Party, Multiplayer']",['Nintendo'],['2.817 GB'],"['October  5, 2018']",76,7.2,"['Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop']","{'Best Buy': ['Physical', '$39.99', '-33%'], 'Walmart': ['Physical', '$39.99', '-33%']}"
OTTTD: Over The Top Tower Defense,"['Strategy, Action, Arcade, Role-Playing']",['SMG Studio'],['278 MB'],"['May  6, 2019']",tbd,5.5,['English'],"['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$0.99', '-88%']}"
Wasteland 2: Director's Cut,"['Role-Playing, Indie']",['InXile Entertainment'],['12.253 GB'],"['September 13, 2018']",76,7.5,"['English, Spanish, French, German, Russian']","['TV, Tabletop, Handheld']","{'Best Buy': ['Physical', '$22.99', '-23%']}"
UNBOX: Newbie's Adventure,"['Adventure, Platformer, Multiplayer']",['Merge Games'],['4.486 GB'],"['NA/EU', 'October 12, 2017JP', 'February 15, 2018']",52,6.1,"['English, Spanish, French, German, Italian']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$15.94', '-47%']}"
Nintendo Labo VR Kit - Starter Set + Blaster,[],[],[],"['April 12, 2019']",[],[],[],[],"{'GameStop': ['Physical', '$26.97', '-33%']}"
Cobra Kai: The Karate Kid Saga Continues,"['Adventure, Action, Arcade, Fighting']",['Game Mill'],['4.86 GB'],"['NA', 'October 27, 2020EU', 'November 24, 2020']",tbd,tbd,"['English, Spanish, French, German, Italian']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$33.88', '-15%']}"
Burnout Paradise Remastered,['Racing'],['Electronic Arts'],['3.995 GB'],"['June 19, 2020']",78,7.7,"['Japanese, English, Spanish, French, German, Italian']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$42.88', '-14%'], 'Target': ['Physical', '$42.99', '-14%']}"
Slayin 2,"['Arcade, Action, Role-Playing, Multiplayer']",['FDG Entertainment'],['194 MB'],"['May  7, 2020']",68,8.0,"['Japanese, English, Spanish, French, German, Italian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$5.99', '-50%']}"
