Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Hasbro Game Night,-67%,[],$59.99,$19.99,[]
Minecraft,-20%,[],$29.99,$23.92,[]
Mario + Rabbids Kingdom Battle Donkey Kong Adventure,-50%,Matches previous low,$14.99,$7.49,Sale ends November 1
Pro Controller,-16%,[],$69.99,$59.00,[]
Super One More Jump,-86%,[],$7.00,$0.98,Sale ends November 1
WARRIORS OROCHI 4 Ultimate,-50%,Lowest price ever,$59.99,$29.99,[]
Battle Princess Madelyn,-75%,Matches previous low,$19.99,$4.99,Sale ends November 9
Vostok Inc.,-75%,Lowest price ever,$14.99,$3.74,Sale ends in 23 hours
Pipe Push Paradise,-75%,Matches previous low,$10.99,$2.74,Sale ends November 4
Kirby Star Allies,-17%,[],$59.99,$49.94,[]
SuperEpic: The Entertainment War,-50%,Lowest price ever,$17.99,$8.99,Sale ends November 4
The Jackbox Party Pack 6,-35%,Matches previous low,$29.99,$19.49,Sale ends November 2
South Park : The Fractured but Whole Season Pass,-67%,Lowest price ever,$29.99,$9.79,Sale ends November 1
Captain Tsubasa: Rise of New Champions,-29%,Lowest price ever,$59.99,$42.49,[]
Holy Potatoes! We're In Space?!,-70%,Lowest price ever,$14.99,$4.49,Sale ends November 1
Fury Unleashed,-50%,Matches previous low,$19.99,$9.99,Sale ends November 13
Speed Dating for Ghosts,-70%,Lowest price ever,$6.99,$2.09,Sale ends November 1
LEGO DC Super-Villains Deluxe Edition,-70%,[],$74.99,$22.49,Sale ends November 2
The Stillness of the Wind,-65%,Matches previous low,$12.99,$4.54,Sale ends November 2
Spyro Reignited Trilogy,-15%,[],$39.99,$33.88,[]
Streets of Red - Devil's Dare Deluxe,-40%,Lowest price ever,$9.99,$5.99,Sale ends November 1
Starlink: Battle for Atlas Collection 2 Pack,-70%,Matches previous low,$49.99,$14.99,Sale ends November 1
Catherine: Full Body,-26%,[],$49.99,$36.89,[]
DEMON'S TILT,-40%,Lowest price ever,$19.99,$11.99,Sale ends November 1
Resident Evil Origins Collection,-50%,[],$59.99,$29.99,[]
FRAMED Collection,-60%,Matches previous low,$9.99,$3.99,Sale ends November 2
Starlink: Battle for Atlas – Starter Pack,-71%,[],$74.99,$21.97,[]
Mutant Year Zero: Road to Eden - Deluxe Edition,-44%,[],$44.99,$25.36,[]
The LEGO Movie 2 Videogame,-70%,[],$39.99,$11.99,Sale ends November 2
Fire Emblem Warriors,-40%,[],$59.99,$36.10,[]
VAMPYR,-40%,[],$49.99,$29.99,[]
Party Golf,-87%,[],$15.00,$1.99,Sale ends November 12
Merchant of the Skies,-34%,Lowest price ever,$14.99,$9.89,Sale ends in 23 hours
Blacksad: Under the Skin,-60%,[],$49.99,$19.99,[]
The Jackbox Party Pack 3,-35%,[],$24.99,$16.24,Sale ends November 2
Tower of Babel - no mercy,-80%,Lowest price ever,$9.99,$1.99,Sale ends in 8 hours
